sveiki,hi
atsiprasau ar sis autobusas vaziuoja i.... ?,excuse me, does this bus goes to...
gal zinote kuris autobusas vaziuoja i....?,do you know which bus goes to... 
noreciau,i want
mazas,small
vidutinis,medium
didelis,big
atsiprašau noreciau sumoketi,excuse me i would like to pay
ar galite pakartoti?,could you repeat?
aciu ir jums,thank you and you too
atsiprasau,i‘m sorry
be padazo,without sauce
su,with
ryziai,rice
bulvytes fri,french fries
bulviu kose,mashed potatoes
keptos bulves,boiled potatoes
kiauliena,pork
vistiena,chicken
jautiena,beef
kecupas,ketchup
cesnakinis,garlic
saldziarugstis,sweet-sour
